original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik,processed_text
"[QUOTE=khayalan;5b2e6b3712e2576f428b457b]\n\nLu yg bilang papua lepas.. lu yg bilang bahwa ada umat suatu agama yg harus buat negata sendiri.. \n\nWaras? \n\nBtw.. thread soal pemeriksaan aset tapi lu nyamber ke agama?? Maksud tujuan lu apa ya? :D[/QUOTE]\n\nBenar lah \nTimor leste aja bisa lepas \n\nEmang kalian cocok nya buat negara sendiri .. Kan kalian gak boleh pilih pemimpin non muslim.. bahkan disuruh bunih2 kafir \n\nMana cocok agamamu pake demokrasi Ã°ÂÂÂ\n\n\n[QUOTE=khayalan;5b2e6b3712e2576f428b457b]\n\n\n\nBtw.. thread soal pemeriksaan aset tapi lu nyamber ke agama?? Maksud tujuan lu apa ya? :D[/QUOTE]\n\nMaksud loe apa? Loe punya mata gak? Siapa yang mancing2 soal agama di trit ini? \n\nInilah MUNAFIKNYA UMAT AGAMA DAMAI .. Kalau mereka ngomongin agama lain boleh ., kalau dibalas malah mewek \n\n\nTuh baca temen seimanmu malah mengancam , bagi kalian ini wajar ya ... Tapi kalau dibalas umat lain .. kalian mewek2?\n\nVvvvvv\n\n[QUOTE=LordFaries;5b2e6630d89b09c6788b4570]Jangan kasar2 maennya nastak, ntar di balas sara azhari versi serius sekala nasional lu[/QUOTE]\n\n
",kaskus,0,1,1,0,dan nlu yang bilang papua lepas kamu yang bilang bahwa ada umat suatu agama yang harus buat negata sendiri dan nwaras dan nbtw thread soal pemeriksan aset tapi kamu nyamber ke agama maksud tujuan kamu apa iya di dan nbenar lah ntimor leste saja bisa lepas dan nemang kalian cocok nya buat negara sendiri kan kalian tidak boleh pilih pemimpin non muslim bahkan disuruh bunih kafir dan nmana cocok agamamu pakai demokrasi dan dan dan dan dan dan nbtw thread soal pemeriksan aset tapi kamu nyamber ke agama maksud tujuan kamu apa iya di dan nmaksud kamu apa kamu punya mata tidak siapa yang mancing soal agama di trit ini dan ninilah munafiknya umat agama damai kalau mereka membicarakan agama lain boleh kalau dibalas bahkan mewek dan dan ntuh baca teman seimanmu bahkan mengancam bagi kalian ini wajar iya tapi kalau dibalas umat lain kalian mewek dan nv dan dan jangan kasar maenya nastak sebentar di balas sara azhari versi serius sekala nasional kamu dan dan
Untung aku cina *bangga* haha RT @rayiztar: org indonesia kan sukanya keroyokan hhaRT melimoly Sdh tau kalah mau lg ma'ganyang huuu (n) haha,twitter,0,0,0,0,untung aku cina banga tertawa rt orang indonesia kan sukanya keroyokan hart melimoly sudah tahu kalah mau lagi sama ganyang hu dan tertawa
"[QUOTE=rantaikehidupan;5a7e95f35c7798fa518b4567]\n\nbangun woi :mad jangan lupa hari fembagian angfao dasar kismin anjing.[/QUOTE]\n\n:babi: ekonomi lemah cuman punya ruko belagu mana mami lu ntar gw bayarin pukinya :wkwkwk
",kaskus,1,0,0,1,nbangun woi mad jangan lupa angfao dasar kismin anjing dan dan ekonomi lemah punya rumah toko mami kamu sebentar bayarin memeknya tertawa
@mia_mualimin loh saya bukan sewot masalah habibnya. tp org2 kayak embak ini yg mendewakan org2 yg berkerudung dan merasa paling bener sedunia. berfikiran positif sih boleh tp klo cuman nilai apa2 hanya dr apa yg terlihat diluar sih rasanya terlalu dangkal pemikirannya.,instagram,0,0,0,0,lho saya bukan sewot masalah habibnya tapi orang orang seperti embak ini yang mendewakan orang orang yang berkerudung dan merasa paling benar sedunia berfikiran positif sih boleh tapi kalau cuma nilai apa apa hanya dari apa yang terlihat di luar sih rasanya terlalu dangkal pemikiranya
iya tau hehe RT @normaditya: enggak bubar kok . cumak pisah satusatu . vian aja sekarang di papua RT @tikawulan: bubar? aku sedih hha,twitter,0,0,0,0,iya tahu he rt tidak bubar kok cumak pisah satusatu vian saja sekarang di papua rt bubar aku sedih tertawa
"Hukum islam itu bisa di tegakkan setelah beliau hijrah kemadinah dan mendirikan khilafah (pemerintahan).wak tu beliau masih di mekkah, di bawah kekuasaan kaum kafir qurais, beliau tidak bisa menerapkan hukum2 Allah. Hukum Allah itu bisa tegak jiga ada kekuasaan. Mikir",twitter,0,0,1,0,hukum islam itu bisa di tegakan setelah beliau hijrah kemadinah dan mendirikan khilafah pemerintahan wak tu beliau masih di mekah di bawah kekuasan kaum kafir qurais beliau tidak bisa menerapkan hukum alah hukum alah itu bisa tegak jiga ada kekuasan mikir
"KISAH SUKSES Lolos jadi PNS Guru di lingkungan PEMDA daerah SULAWESI TENGGARa.assalamu Alaikum wr-wb, Saya ingin berbagi cerita kepada anda, Bahwa dulunya saya ini cuma seorang Honorer di sekolah dasar KOLAKA SULAWESI TENGGARA Sudah 11 tahun saya jadi tenaga honor belum diangkat jadi PNS Bahkan \nsaya sudah % kali mengikuti ujian, dan membayar 60jt namun hasilnya nol uang pun tidak kembali bahkan saya sempat putus asa,namun teman saya memberikan no tlp Bpk.DEDE JUNAEDY MSi Selaku petinggi di BKN pusat yang di kenalnya selaku kepala DIT PENGADAAN PNS.saya pun coba menghubungi beliau dan beliau menyuruh saya mengirim Berkas saya melalui Email, alhamdulillah No Nip dan SK saya akhirnya \nkeluar,allhamdulillah tentunya sy pun sangat gembira sekali.Jadi apapun keadaan anda skarang jangan pernah putus asa dan terus berusaha, kalau sudah waktunya tuhan pasti kasih jalan,ini adalah kisah nyata dari saya,untuk hasil ini saya ucapkan terimakasih kepada : 1. ALLAH SWT; karena KepadaNya kita meminta dan memohon. 2. Terimakasih untuk khususnya Bpk.DEDE JUNAEDY M.Si Di BKN PUSAT,dan dialah yang membantu kelulusan saya.Alhamdulillah SK saya tahun ini bisa keluar.Teman teman yg ingin seperti saya silahkan anda hubungi Direktorat Pengadaan PNS Drs.DEDE JUNAEDY Msi.No Tlp ; 0813 5557 4808 siapa tau beliau mau membantu.\n
",kaskus,0,0,0,0,kisah sukses lolos jadi pns guru di lingkungan pemerintah daerah daerah sulawesi tengara asalamu alaikum wr wb saya ingin berbagi cerita kepada anda bahwa dulunya saya ini hanya seorang honorer di sekolah dasar kolaka sulawesi tengara sudah tahun saya jadi tenaga honor belum diangkat jadi pns bahkan nsaya sudah kali mengikuti ujian dan membayar jt namun hasilnya nol uang pun tidak kembali bahkan saya sempat putus asa namun teman saya memberikan nomor telepon bapak dede junaedy msi selaku petingi di bukan pusat yang di kenalnya selaku kepala dit pengadan pns saya pun coba menghubungi beliau dan beliau menyuruh saya mengirim berkas saya melalui email alhamdulilah nomor nip dan sk saya akhirnya nkeluar alhamdulilah tentunya saya pun sangat gembira sekali jadi apapun keadan anda skarang jangan pernah putus asa dan terus berusaha kalau sudah waktunya tuhan pasti kasih jalan ini adalah kisah nyata dari saya untuk hasil ini saya ucapkan terima kasih kepada alah subhanahuwatala karena kepadanya kita meminta dan memohon terima kasih untuk khususnya bapak dede junaedy m sih di bukan pusat dan dialah yang membantu kelulusan saya alhamdulilah sk saya tahun ini bisa keluar teman teman yang ingin seperti saya silakan anda hubungi direktorat pengadan pns drs dede junaedy msi nomor telepon siapa tahu beliau mau membantu dan
FPI ajarin bunuh Kafir calon calon teroris..&hina Pancasila Sukarno Jokowi ISA.=anti Pancasila..Jok=.GEBUG&TENDANG klu perlu KILL&USIR drIND,twitter,0,1,1,1,front pembela islam ajarin bunuh kafir calon calon teroris hina pancasila sukarno jokowi isa anti pancasila jok gebug tendang kalau perlu kil usir drind
"Selingan kultum buat qolbu. Hadits sahih Bukhari :malus\nPedoman bagaimana sikap kita terhadap babu kita langsung dari kisah hidup nabi kita :malus\n\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071217.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071223.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071239.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071255.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071303.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071310.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071317.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071326.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071344.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071353.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071403.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071414.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071428.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071436.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071447.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071457.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071505.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071513.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071521.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071529.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071538.jpg[/img]\n[img]http://cdn.kaskus.com/images/2014/10/12/7209916_20141012071551.jpg[/img]\n\n[img]http://wonkette.com/wp-content/uploads/2010/10/aquavelvabuddha-250x250.jpg[/img]\n\n[img]http://cdn.kaskus.com/r540x540/images/2014/07/08/5894907_20140708020224.gif[/img]
",kaskus,0,0,0,0,selingan kultum buat qolbu hadis sahih bukhari malus npedoman bagaimana sikap kita terhadap babu kita langsung dari kisah hidup nabi kita malus dan dan
"Benjol"" begitu nggk rataaa..knapa itu ya ko bisa begitu pdhl klo paha cwe sma pantat cwe mulus baguss bahenoll banget ini mh ko begitu",instagram,0,0,0,0,benjol tidak knapa itu kok begitu kalau paha cewek sama pantat cewek mulus bahenol sekali mh kok begitu
Apalagi begitu tau motivasinya untuk membasmi KAFIR demi SYAR'I RT @joanasiboro: Sedih banget liat ulasan bom waktu malam natal tahun 2000,twitter,0,1,1,1,apalagi begitu tahu motivasinya untuk membasmi kafir demi syar i rt sedih sekali lihat ulasan bom waktu malam natal tahun
"Ganyang malaysia!!! HahaRT @AdrianLiauw: @inkationo td pagi br omongin lg. Klo k Cina, g d sru ampe 12 dlu, klo Malay or SG, 11 ssai, :(.",twitter,0,0,0,0,ganyang malaysia hahart tadi pagi baru omongin lagi kalau ke cina tidak di sru sampai dulu kalau malay atau sg sai sedih
@farrahnadim di syiarkan atau tidak pasti ada saja pro kontra. Karena orang berhijrah itu ujiannya berat dari mulut mulut manusia yang jahat Ã°ÂÂÂÃ°ÂÂÂ,instagram,0,0,0,0,di syiarkan atau tidak pasti ada saja profesional kontra karena orang berhijrah itu ujianya berat dari mulut mulut manusia yang jahat
@putri_assyfa27 iya Mukany koq Kaya Sempak Mendingan Haters pnya Nenen asLi biar tepos kek tp.Pnya puting Ã°ÂÂ¤Â£Ã°ÂÂ¤Â£Ã°ÂÂ¤Â£,instagram,0,0,0,1,iya mukany kok kaya celana dalam mendingan pembenci pnya tetek asli biar tepos seperti tapi pnya puting
Wkwkwk RT @marilest: Hiyyy...cukur dulu!! RT @dhikadhitya Wkwkwk RT @zhacil: sumpah memek lu sempit bgt ah ah ah (cont) http://tl.gd/90e74c,twitter,1,0,0,0,tertawa rt hiy cukur dulu rt tertawa rt sumpah memek kamu sempit sekali ah ah ah cont
"Loe lg provokasi atau ks solusi nyet? Ust somad itu mulutnya jg selalu kafir sana sini pantas ditolak dn diuji nasionalisnya,,klo ormas Bali radikal maka sejak bom bali terjadi smua mesjid dn umat muslim sdh jd korban amarah..kau wakil ketu DPR tp mulut kau spt LON*E",twitter,0,1,1,1,kamu lagi provokasi atau ks solusi nyet ust somad itu mulutnya juga selalu kafir sana sini pantas ditolak dn diuji nasionalisnya kalau organisasi masyarakat bali radikal maka sejak bom bali terjadi semua masjid dn umat muslim sudah jadi korban amarah kamu wakil ketu dpr tapi mulut kamu seperti lon e
"Woi hati2 klen...bisa kena UU No.21 Tahun 2007. Sudah cukup unsur nya ini, ada objeknya ada subjeknya dan ada unsur eksploitasi disini...
",kaskus,0,0,0,0,woi klen bisa kena nomor nya ini ada objeknya ada subjeknya dan ada unsur eksploitasi di sini
"Lu coba ke prisikolog dah atau apa gimana gitu periksa dulu dah,  gue tau jadi bencong juga kelainan, tapi sumpah lu udah jadi bencong, halu,gila , semuanya udah",instagram,0,0,0,1,kamu coba sudah atau apa bagaimana begitu periksa sudah tahu jadi banci kelainan tapi kamu sudah jadi banci halu semuanya sudah
@bongkar_isilemari ini kan bulan haji kak..jadi judulnya yah haji...bukan umroh..klo dia cepet brarti insya allah ikut yg paketan haji plus...,instagram,0,0,0,0,ini kan bulan haji kak jadi judulnya yah haji bukan umroh kalau dia cepat brarti insya alah ikut yang paketan haji plus
@lelychoirun iyalah nikah siri cuman merugikan perempuan kalo ga cocok tinggal di cerein segampang itu tinggal tusuk ke lobang lain. Gaada perlindungan hukumnya,instagram,0,0,0,0,iyalah nikah siri cuma merugikan perempuan kalau tidak cocok tingal di cerein segampang itu tingal tusuk ke lubang lain tidak ada perlindungan hukumnya
@sissyshop24 intinya idup nya itu gak berguna . pas bagian barang haram nya ko rata gitu ya. gak kaya cwe biasanya,instagram,0,0,0,0,intinya hidup nya itu tidak berguna pas bagian barang haram nya kok rata begitu iya tidak kaya cewek biasanya
"23. Kata orang america ""orang jawa, bali, madura, Maluku, Sulawesi, sumatra,Papua,Kalimantan kok goblok dan bodoh kayak kita dulu,ya?""",twitter,0,1,0,1,kata orang america orang jawa bali madura maluku sulawesi sumatera papua kalimantan kok bodoh dan bodoh seperti kita dulu iya
walah enak banget dapat pengikut ig cepat di sini panelpediavip.com dan free.panel pedia.net (Hapus Spasi pada Link),instagram,0,0,0,0,walah enak sekali dapat pengikut instagram cepat di sini panelpediavip com dan gratis panel pedia net hapus spasi pada link
"AHHAHAHHA PARA KAFIR GAK TAU DIRI,,DIA KIRA NEGARA INI PUNYA NGOKONGNYA,,JIKA UAMT ISLAM MAU GAMPANG AJA USIR KALIAN DARI NEGARA INI.PAHAM",twitter,0,1,1,1,ahahaha para kafir tidak tahu diri dia kira negara ini punya ngokongnya jika uamt islam mau gampang saja usir kalian dari negara ini paham
mantab bener sis coba pake panelpediavip.com dan free.panel pedia.net pengikut dijamin nambah setiap hari :) (Hapus Spasi pada Link),instagram,0,0,0,0,mantap benar kakak perempuan coba pakai panelpediavip com dan gratis panel pedia net pengikut dijamin nambah setiap hari hapus spasi pada link
"@yiyieka jangan salah , saya perawat. Laki2 sama laki2 pun bisa terkena hiv. Sudah banyak kasusnya LGBT kena hiv Ã°ÂÂÂ",instagram,0,0,0,0,jangan salah saya perawat laki sama laki pun bisa terkena hiv sudah banyak kasusnya lgbt kena hiv
"@Ranisyanah jadi ngebayangin klo kamu tdur kyk gtu,aku gesekin memek km pake kontol trs masukin dalem2 smbil genjot gigit puting kamu...",twitter,1,0,0,0,jadi ngebayangin kalau kamu tdur seperti gtu aku gesekin memek kamu pakai kontol terus masukan dalem smbil genjot gigit puting kamu
kalau papua mah inginnya merdeka. coba aja referendum kalau berani. kalau referendum yg bersisa DKI doang. Bekasi aja pisah kyknya,twitter,0,0,0,0,kalau papua mah inginya merdeka coba saja referendum kalau berani kalau referendum yang bersisa daerah khusus ibukota saja bekasi saja pisah kayaknya
"[QUOTE=pcjames;5b2565f1c1d77038668b4576]\n\nnah manusia sok tau muncul nih..sex bebas meraja lela di eropa?jhaaa terlalu kecemar holiwud kagak tau kehidupan asli disana...yang ente sebutkan hanya terjadi di eropa barat seperti spain jerman inggris belanda..tapi di eropa timur seperti russia polandia kroasia italia masih kristen kuat dan jemaat gereja  masih tinggi..jangan terlalu menggeneralisih. terus menurut ente yg bakal menguasai eropa dan dunia itu muslim?bwahahahaha[/QUOTE]\n\nhttp://www.pewforum.org/2018/05/29/being-christian-in-western-europe/\n\nBaca dan analisis saja \nEropa itu akan atheist agnostic bahkan Islam akan mulai diterima di Eropa \nKenapa bisa begitu? \nGereja di Eropa tidak mau peduli dengan hukum negara sendiri \nLGBT, pernikahan sejenis, Aborsi, Hukuman Mati yang sudah jelas-jelas tidak sesuai dengan Alkitab akan didiamkan oleh gereja. \nMana ada yang peduli dan mau capek umat agama Kristen buat ngurusin yang begituan.. \n\nSemangat beragama dan menegakkan nilai-nilai Kekristenan dan ajaran Alkitab itu sudah hilang lenyap karena otoritas gereja juga.. \n\nCoba carikan umat agama Kristen yang secara rutin membaca dan memahami Alkitab setiap harinya. \nMembuat pertemuan2 untuk pendalaman Alkitab.. \n\nLagian pekok \nWanita-wanita Kristen datang ke gereja saja pamer payudara dan paha putihnya \n\nBukan otak Ane yang mesum tapi mending pulang saja sih saya dari gereja kalau lihat begituan \n\nCuiiiiihhhhh \nMending ke mall Lihat2in payudara Daripada ditempat ibadah \n\nCuihhh \n\n:najis :najis \n\n\n
",kaskus,1,1,1,0,dan nah manusia sok tahu muncul ini seks bebas meraja lela di eropa jha terlalu kecemar holiwud tidak tahu kehidupan asli di sana yang kamu sebutkan hanya terjadi di eropa barat seperti spain jerman ingris belanda tapi di eropa timur seperti rusia polandia kroasia italia masih kristen kuat dan jemat gereja masih tinggi jangan terlalu mengeneralisih terus menurut kamu yang bakal menguasai eropa dan dunia itu muslim bwahahahaha dan dan dan analisis saja neropa itu akan ateis agnostic bahkan islam akan mulai diterima di eropa nkenapa bisa begitu ngereja di eropa tidak mau peduli dengan hukum negara sendiri nlgbt pernikahan sejenis aborsi hukuman mati yang sudah jelas jelas tidak sesuai dengan alkitab akan didiamkan oleh gereja nmana ada yang peduli dan mau capai umat agama kristen buat ngurusin yang begituan dan nsemangat beragama dan menegakan nilai nilai kekristenan dan ajaran alkitab itu sudah hilang lenyap karena otoritas gereja juga dan ncoba carikan umat agama kristen yang secara rutin membaca dan memahami alkitab setiap harinya nmembuat pertemuan untuk pendalaman alkitab dan nlagian pekok nwanita wanita kristen datang ke gereja saja pamer payudara dan paha putihnya dan nbukan otak saya yang mesum tapi lebih baik pulang saja sih saya dari gereja kalau lihat begituan dan ncuih nmending ke mal lihatin payudara daripada di tempat ibadah dan ncuih dan dan najis najis dan dan dan
Ceritanya gw  nnya sama Anak gw .. Cantik Ga ni foto @lucintaluna ..trust Dia jawab buruk.. Anak umur 3 thun  lo yg ngmonk,instagram,0,0,0,0,ceritanya aku nya sama anak aku cantik tidak ini foto trust dia jawab buruk anak umur thun kamu yang ngmonk
"[QUOTE=bagong2018;5b4f91c49e74043b408b4568]\n\njadi bjimane soal pemerfoksaan yg ente bangga banggakan itu ??? cuman tifu tifu doank buat ngemis2 suaka ???\n\n[/QUOTE]\n\nOh jd lu bangga bo'ol[B] ITEM DEKIL[/B] lu jd korban pemerkosaan tukang bakpao cabang Glodok yg ga kebagian korban betina. Akhirnya bo'ol[B] ITEM DEKIL[/B] lu yg diembat? Itu kejadiannya pas Mei 98 ya? Lu lg ngemis di dpn vihara Glodok? :ngakak \n\nTGPF punya data/ buktinya bhw bo'ol [B]ITEM DEKIL[/B] lu di-bor pas Mei 98? 
",kaskus,1,1,0,0,dan njadi bjimane soal pemerfoksan yang kamu banga bangakan itu cuma tifu tifu doank buat ngemis suaka dan dan dan noh jadi kamu banga bo daring hitam dekil kamu jadi korban pemerkosan tukang bakpao cabang glodok yang tidak kebagian korban betina akhirnya bo daring hitam dekil kamu yang diembat itu kejadianya pas mei iya kamu lagi ngemis di depan vihara glodok tertawa dan ntgpf punya data buktinya bhw bo daring hitam dekil kamu di bor pas mei
@investigator_RI betul dan semua pihak yg menentang si cina kafir ahok akan di kriminalisasi oleh polisi dgn smua rekayasa hukum nya,twitter,0,1,0,0,betul dan semua pihak yang sih akan di kriminalisasi oleh polisi dengan semua rekayasa hukum
"Eaa, yg satu dah ketangkepp penyebar HOAX... Dah tunggu aja, tar pas u tidur di ciduk.. gw ngakak sih",instagram,0,0,0,0,ea yang satu sudah tertangkap penyebar palsu sudah tungu saja nanti pas kamu tidur di ciduk aku tertawa sih
"Bentar lagi nastak nastak bakal digiring macem babi :D\nAmin Allohuma Amin\n\n[img]https://s.kaskus.id/images/2018/05/10/10207826_20180510012238.jpg[/img][img]https://s.kaskus.id/images/2018/05/10/10207826_20180510012311.jpg[/img][img]https://s.kaskus.id/images/2018/05/10/10207826_20180510012321.jpg[/img][img]https://s.kaskus.id/images/2018/05/10/10207826_20180510012333.png[/img]
",kaskus,0,0,0,1,sebentar lagi nastak nastak bakal digiring macam babi di namin alohuma amin dan dan
"[QUOTE=Ralgy;5a8e3bc0e0522790578b4569]\n\nyang 99 itu [B]nama-nama[/B], kaya Ar-Rahman(yang maha pengasih) , Ar-Rahiim(yang maha penyayang) dst\nkalo yang 3 [B]bukan nama-nama[/B], bapa putra dan roh kudus (correct me if i'm wrong)\n\nsemoga dapat pencerahan\nane ga suka kalo berdebat bawa2 agama, apalagi ngata2in agama orang lain :shakehand2 [/QUOTE]\n\noooooo 99 itu nama ya, seperti Budi, Amir, Anton, dll sampe 99., kalo manusia nih ada Budi ada Amir ada Anton, ada nama sampe 99 ya orangnya beda-beda sampe 99 orang juga :ngakak \n\nkalo yg 3 bukan nama ? trus apa dong :ngakak \n\nGak suka debat agama ato ngata2in tapi lu bilang satunya nama satunya bukan dengan mengacu kepada tuhannya tiga ??? :ngakak , \nmalah yg 99 logikanya dengan 99 nama ya 99 entitas yg berbeda pula :ngakak 
",kaskus,0,0,0,0,yang itu nama ar yang maha pengasih ar rahim yang penyayang dan nkalo nama nama bapa dan roh corect me if i m wrong dan nsemoga dapat pencerahan berdebat bawa agama apalagi ngatain agama orang lain shakehand dan nama iya seperti budi amir dan lainlain sampai kalau manusia ini ada budi ada anton ada iya orangnya beda beda juga tertawa nkalo yang nama terus apa dong tertawa dan suka debat atau ngatain tapi kamu bilang satunya nama satunya bukan dengan mengacu kepada tuhanya tertawa yang logikanya dengan nama iya berbeda pula tertawa
"Islam itu indah, Kristen itu kasih, Hindu itu cinta, dan Budha itu damai. Semua agama itu sama dan kita harus saling menghormatinya. :)",twitter,0,0,0,0,islam itu indah kristen itu kasih hindu itu cinta dan budha itu damai semua agama itu sama dan kita harus saling menghormatinya
"Jangan terlalu fokus sama modern football , ayo sewa fpi buat jihad bom bunuh diri ke kantor PSSI aja, tak jamin fpi namanya bisa bersih",twitter,0,0,1,1,jangan terlalu fokus sama modern fotbal ayo sewa front pembela islam buat jihad bom bunuh diri ke kantor psi saja tidak jamin front pembela islam namanya bisa bersih
@HotArtis Klo ada yg punya video atau link nya rinada pns bandung ngentot aku d bagi dong ..pengen nonton nih,twitter,1,0,0,0,kalau ada yang punya video atau link nya rinada pns bandung sengama aku di bagi dong ingin nonton ini
