processed_text,pornografi,sara,radikalisme,pencemaran_nama_baik
"Untuk yang keseharian nya selalu menggunakan kendaraan , motor honda scoopy sangat cocok untuk anda , body yang elegan bahan bakar yang irit dan motor yang nyaman saat dikendarai sangat cocok untuk semua kalangan ;)",positive,neutral,positive,positive
"ertiga gaya nya oke banget, tarikan juga mantap dan bandel tapi sayang nya boros banget",negative,positive,neutral,positive
"Kok Nissan GL enggak banget , deh .",neutral,neutral,negative,neutral
"Enggak semua bengkel AHASS HONDA servis nya keren , motor gue servis dicsitu malah sama saja kayak enggak diservis ! Udah mahal ! Payah lagi !",neutral,neutral,neutral,neutral
"Mending wuiling almaz . Fitur banyak , mesin turbo , body gede , harga menarik .",neutral,positive,neutral,positive
toyota menang harga nya kalo nantinya mau dijual,neutral,neutral,neutral,neutral
Pajero mempunyai mesin yang lebih bertenaga dan banyak fitur,neutral,positive,neutral,positive
kualitas Jok Duduk Avanza nyaman karena telah menggunakan bahan tempat duduk berkualitas bagus,neutral,neutral,neutral,positive
memang xenia maknyus .,neutral,neutral,positive,neutral
Alhamdulillah saya tidak salah pilih memilih kendaraan buat usaha selain dari tenaga nya yang lumayan kencang vario 125 kokoh buat bawa beban banyak dan irit sangat bbm - nya,positive,positive,positive,neutral
selama ini pakai xexi lumayan enak dan nyaman juga .,neutral,neutral,positive,neutral
sayang nya veloz masih menggunakan lampu halogen bukan LED ya juragan,neutral,neutral,neutral,negative
Saya memakai Honda Jazz GK5 tahun 2014 ( pertama meluncur ) . Mobil nya bagus dan enak sesuai moto nya menyenangkan untuk dikendarai,neutral,neutral,positive,neutral
fortuner sempit di belakang kalau pajero luas duduk nya ga mentok,neutral,neutral,neutral,positive
yang paling cocok untuk wanita karir memang calya dari segi desain karena mungil tapi tetap terlihar stylish,neutral,neutral,neutral,positive
"Kebetulan saya juga pakai HRV , namun pengalaman di bengkel resmi nya , banyak yang kurang menyenangkan . serta biaya servis nya agak mahal .",neutral,neutral,neutral,neutral
Toyota rush 2018 tarikan nya luar biasa,neutral,positive,neutral,neutral
honda brio lebih worth it kalo pengen mobil yang fun to drive,neutral,neutral,positive,neutral
jangan beli mobil produk @DaihatsuInd terutama mobil Xenia karena mesin nya mudah meledak .,neutral,negative,neutral,neutral
Grill depan Grand New Veloz terlihat lebih sangar dan lebar ya juragan,neutral,neutral,neutral,positive
"sudah 3 tahun saya pakai Honda Vario , sangat nyaman dipakai dan pasti nya irit",positive,neutral,positive,neutral
honda brio termasuk yang cukup ekonomis di kelas nya,neutral,neutral,neutral,neutral
"mobilio oke banget secara keseluruhan, tapi buat pilihan warna nya gak menarik",neutral,neutral,positive,negative
Liburan Ke Bali berempat dengan wuling confero s lux+ . BBM yang sangat irit,positive,neutral,neutral,neutral
vario body nya lebih kokoh daripada mio,neutral,neutral,neutral,negative
"@DaihatsuInd service di bengkel daihatsu harga nya mahal banget , onderdil masih bagus minta diganti sama CS / mekanik nya . Sekali service 2jt",neutral,neutral,neutral,neutral
Vario bentuk nya seksi buat boncengan pun nyaman dan aman sistem semua sudah canggih dan bbm irit di dompet kita semua .,positive,neutral,neutral,positive
kalau brio senyaman ini gak papa mau macet lama juga tetap betah di dalam,neutral,neutral,positive,neutral
Honda HRV Cvt - nya lambat ( enggak tahu yang 1.8 ) .,neutral,neutral,neutral,negative
Setelah melihat ini ku yakin akan beli Honda CR - V,neutral,neutral,positive,neutral
"saya punya xenia Li 08 family , sepanjang pemakaian nya belum ada keluhan sih .",neutral,neutral,positive,neutral
gue juga senang banget soal nya avanza ruang bagasi nya mampu menampung hingga 5 tas berukuran besar dengan susunan rapi ke arah atas . bawa barang banyak pun pasti muat,neutral,neutral,neutral,positive
"Desain dasbor HRV kece , seolah-olah semua diorientasikan ke pengemudi",neutral,neutral,neutral,positive
"Harga mahal , tapi fitur gitu gitu aja .",neutral,neutral,neutral,negative
Yahama Aerox 155 vva akselerasi memang top.,neutral,positive,neutral,neutral
jazz tarikan nya jauh lebih halus daripada brio,neutral,negative,neutral,neutral
Hanya honda beat yang sudah terbukti mantap dan dahsyat.,neutral,neutral,positive,neutral
"yamaha lexi speed nya gila, tarikan nya juara, cuma yah, bensin nya nyedot, bro.",negative,positive,neutral,neutral
"Toyota harga kemahalan , kualitas menurun , layanan purnajual menurun",neutral,neutral,negative,neutral
Waduh kece parah deh ini bisa-bisa kepincut saya sama wuling cortez,neutral,neutral,positive,neutral
Honda vario ku murah perawatan rutin dan selalu termonitor kalau ada kekurangan satu dan lainnya dapat terdeteksi secara cepat dan bahkan banyak tempat servis yang tersebar menjadikan mudah dalam pemeliharaan nya .,neutral,neutral,neutral,neutral
"Saya sudah menggunakan Vario 125 esp ini sejak tahun 2016 , keseluruhan selama 2 tahun pemakaian bisa dibilang sangat puas , servis yang murah , bahan bakar irit , dan nyaman .",positive,neutral,positive,neutral
"Dari pengalaman sendiri pakai mitsubishi , lampu kayak kurang terang itu karena kaca film standar terlalu gelap yang depan .",neutral,neutral,neutral,negative
Pajero dong udah Ganteng luar nya Tenaga nya Juga dapet,neutral,positive,neutral,positive
Calya lari nya juga lumayan kencang mantap jiwa,neutral,positive,neutral,neutral
All - new Brio dengan harga termurah 135 - an juta tidak layak .,neutral,neutral,neutral,neutral
"Sudah lama pakai Xenia , baru kali dapet yang AC - nya enggak enak dan jok nya kaku .",neutral,neutral,neutral,negative
Yamaha Aerox R tarikan oke mesin hebat bodi sporty,neutral,positive,neutral,positive
menurut saya dari segi kenyamanan sih bolehlah lumayan si xenia,neutral,neutral,positive,neutral
"MOBIL ku xenia 1,3 cc puas banget pakai nya .",neutral,neutral,positive,neutral
"Service bengkel pinggir jalan dibilang jelek hasil service di dealer resmi pelayanan jelek , scumbag honda",neutral,neutral,neutral,neutral
Toyota lebih unggul dari mitsubishi secara worldwide termasuk di Indonesia,neutral,neutral,negative,neutral
avanza lincah banget kalo buat lari meskipun gaya nya jadul abis hehe,neutral,positive,neutral,negative
"Perasaan liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya , kurang greget",neutral,neutral,negative,neutral
Tarikan lincah pasti Avanza,neutral,positive,neutral,neutral
Xenia 1.300 cc mesin nya lincah dan bisa beramai-ramai hehe .,neutral,positive,positive,neutral
buat saya untuk ukuran ekonomi menengah ke bawah ya Toyota Calya oke banget harga nya,neutral,neutral,neutral,neutral
"xpander memang oke , enak saja menanjak 6 orang dalam mobil .",neutral,neutral,positive,neutral
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,neutral,neutral,neutral,negative
"Saya punya Grand Livina XV tahun 2011 irit nya juara , bang .",positive,neutral,neutral,neutral
kalo punya toyota ya harus sabar aja kalo servis nya buruk,neutral,neutral,neutral,neutral
hati-hati aja mobilio purnajual nya suka jatuh,neutral,neutral,neutral,neutral
gue pengguna xenia li vvti 2008 selama memakai tidak ada masalah lancar-lancar,neutral,neutral,positive,neutral
"Kekurangan dari Formo sekilas: minim fitur safety, kualitas finishing interior jelek.",neutral,neutral,neutral,negative
sumpah . gtr ganteng banget asli,neutral,neutral,positive,neutral
"Saya menggunakan avanza tahun 2009 transmisi manual . kualitas mesin top banget . Walaupun dengan pemeliharaan minimal , tetapi hasil nya maksimal .",neutral,positive,neutral,neutral
"Honda Vario terasa sangat lincah dan tangguh mengantar saya ke mana saja , membelah tiap lekuk dan sudut yogyakarta dan sekitar nya tanpa khawatir kenapa-kenapa .",neutral,positive,neutral,neutral
"Selama 2 tahun belum ada kendala, Sigra memang mantap.",neutral,neutral,positive,neutral
yaudah gue enggak ragu ambil Calya ini buat harian,neutral,neutral,positive,neutral
avanza kenyamanan nya paling juara,neutral,neutral,positive,neutral
mobilio memang paling enak buat low mpv,neutral,neutral,positive,neutral
Jelas design Mazda cx - 3 lebih cakep diliat dari depan samping dan belakang,neutral,neutral,neutral,positive
mobilio bagus purnajual juga oke,neutral,neutral,positive,neutral
Rush 2018 G AT cocok untuk kalangan tua dan muda . tiada lagi tandingan nya .,neutral,neutral,positive,neutral
Xenia li biru dlx AC - nya dingin juga . Mantaplah .,neutral,neutral,neutral,positive
"cuma sekarang ini lagi punya pengganjal , kalau melewati polisi tidur Xenia kayak nya dasbor itu bunyi , kayak kurang rigid",neutral,neutral,neutral,negative
"Xenia yang saya pakai dari 2005 ini biaya perawatan yang rendah dan keandalan mesin yang tinggi ,",neutral,positive,neutral,neutral
"memang xenia bandel , gue senang banget sama mobil gue ini .",neutral,positive,positive,neutral
"fortuner gimana yah ... tenaga biasa aja , kalo pajero sport tenaga gak malu - maluin",neutral,positive,neutral,neutral
"xenia Li taun 2005 , saya pakai baik-baik saja . bandel . irit .",positive,positive,neutral,neutral
"Avanza lari nya juga lumayan kencang , di tol bisa mencapai 140 km / h.",neutral,positive,neutral,neutral
Nama Toyota dan Honda di indonesia melegenda ... walaupun mahal orang mau beli ... kata nya Spert part nya murah padahal kualitas nya abal2 ... di ketok dikit langsung penyot body nya dan dasbor nya,neutral,neutral,neutral,negative
jazz tarikan nya lebih oke daripada brio,neutral,negative,neutral,neutral
xpander ini mpv paling bagus untuk orang yang cari mobil mpv canggih,neutral,neutral,positive,neutral
avanza gaya nya jadul ah gak cocok buat mahasiswa,neutral,neutral,neutral,negative
Honda Brio punya setir yang presisi dan tegak seperti 86 begitu pun jok sporty - nya ala racing .,neutral,neutral,neutral,positive
"Honda Beat sangat mengerti di saat kantong lagi tipis tidak pernah rewel , mesin masih halus terus meskipun tiap hari dibawa perjalanan jauh terus",neutral,positive,positive,neutral
"Kalau untuk secara desain , interior dan fitur Honda mumpuni okelah .",neutral,neutral,neutral,positive
kalau mesin dan tampang unggul brio satya . tapi lebih empuk dan lebih murah karimun .,neutral,positive,neutral,positive
bangga banget saya punya mobil xenia ini walaupun harga nya mahal .,neutral,neutral,positive,neutral
Honda HRV gas nya pelan di jalan enggak rata bunyi semua .,neutral,negative,neutral,neutral
"Jangan begitu bro , menurut gue Karimun Wagon R kita ini harga nya paling worthy dan nyaman di antara LCGC lainnya .",neutral,neutral,positive,neutral
Xeli tenaga nya juga enggak memalukan,neutral,positive,neutral,neutral
"nambah logo doang , harga naik puluhan juta",neutral,neutral,neutral,neutral
CH - R versi negara ini kurang worth it soal fitur dan kelengkapan,neutral,neutral,neutral,negative
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,neutral,neutral,positive,neutral
"12 cup holders kok kesan nya ga berfaedah buat mobil seven seater , nama nya aja seven seater ngapain sampe 12 wikwikwik , mendingan legain kabin drpd banyakin cup holder",neutral,neutral,neutral,negative
tampilan Avanza bergaya khas crossover ini memiliki kesan sporty dan agresif,neutral,neutral,neutral,positive
"Senang gue sama Xenia Li. keluar duit enggak banyak , dapat nya mantap .",neutral,neutral,positive,neutral
Kok bengkel toyota payah banget sih . Kata nya bakal dipanggil nomor nya tapi nomor nya manual :(,neutral,neutral,neutral,neutral
"Masya Allah toyota mahal harga nya , tetapi pelit fitur-fitur",neutral,neutral,neutral,negative
Rush baru terlihat lebih gagah dan keren,neutral,neutral,positive,neutral
"jangan beli brio, kenyamanan nya jelek banget, mending calya selalu enak dibuat ke mana mana .",neutral,neutral,positive,neutral
"Daihatsu Xenia yang paling pas buat saya dan keluarga , perawatan lebih mudah dan part lebih murah dari kendaraan merek lainnya .",neutral,neutral,positive,positive
"@iip_bados05 bengkel resmi toyota , honda , daihatsu itu standart nya lebih bagus dari bengkel biasa mas , so astrido punya toyota .",neutral,neutral,neutral,neutral
"Mini cooper , mobil stylish yang mendekati sempurna",neutral,neutral,positive,neutral
dengan harga nya terjangkau mobil avanza ini masih digemari masyarakat indonesia sebagai mobil keluarga pilihan,neutral,neutral,neutral,neutral
Pelayanan bengkel Honda AutoBest soekarno hatta jelek banget sih . pantes aja sepi mulu .,neutral,neutral,neutral,neutral
MOBIL ku xenia 1.300 cc irit dipakai nya,positive,neutral,neutral,neutral
harga jual pun bersaing . untuk saat ini Nmax jadi motor ini paling nyaman digunakan baik untuk harian maupun tur .,neutral,neutral,positive,neutral
masalah nopol aja lama sekali mengurus nya kecewa sama nissan,neutral,neutral,neutral,neutral
memang bagus sih brio pantas laku keras,neutral,neutral,positive,neutral
saya sih secara pribadi puas banget sama Xeli . nyaman .,neutral,neutral,positive,neutral
"pakai rush trd enak banget dari bangku , kaki-kaki enak dan saya bawa lari dengan kecepatan hampir 140 km / jam Tidak limbung dan masalah bensin irit banget dan ac dingin",neutral,positive,neutral,positive
Puas banget sama after sales-nya Nissan.,neutral,neutral,neutral,neutral
Sejauh ini belum ne mu bengkel resmi mitsubishi yang pelayan nya ' bagus ',neutral,neutral,neutral,neutral
saya saranin beli vario aja suku cadang meadai purnajual juga oke,neutral,neutral,neutral,positive
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,positive,neutral,positive,positive
"Harga yang murah , tapi mesin Avanza bagus juga .",neutral,positive,neutral,neutral
scoopy keren banget body nya juga unik dan cocok buat anak muda penuh gaya,neutral,neutral,positive,positive
sangat berkesan dengan Avanza karena harga nya yang murah dibanding dengan mobil sekelas nya ( saya beli bekas ) .,neutral,neutral,neutral,neutral
Mitshubisi raja jalanan,neutral,neutral,positive,neutral
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,neutral,neutral,neutral,positive
"Menurut saya untuk harga mobil sekelas nya , sampai saat ini mungkin IGNIS ini yang paling value for money .",neutral,neutral,neutral,neutral
Xenia yang 1000 cc punya handling yang lebih lincah dan enteng,neutral,neutral,neutral,positive
Saya lebih cenderung VRZ punya daya tarik tersendiri,neutral,neutral,positive,neutral
"Tetapi menurut saya honda masih terlalu pelit untuk ac - nya ,",neutral,neutral,neutral,negative
Toyota Rush cocok untuk segala musim berjiwa petualang .,neutral,neutral,positive,neutral
Warna Avanza keluaran terbaru ini menambah mobil menjadi terlihat lebih modern,neutral,neutral,neutral,positive
keren pajero bro ... fortuner mah lewat ..,neutral,neutral,negative,neutral
"Sirion ini terlalu overpriced bos , bisa ngga laku di indonesia",neutral,neutral,negative,neutral
"Saya beli Avanza 2011 , untuk harga sangat ergonomis buat keluarga dan untuk konsumsi bensin nya irit .",positive,neutral,neutral,neutral
"Toyota rush ini perawatan nya mudah , bengkel banyak di mana-mana .",neutral,neutral,neutral,neutral
Lama banget kerja nya teknisi honda !! Masa iya udah 20 antrean belom disentuh-sentuh motor ku ? Dari jam 10 woi ! Emang kalo servis itu bagus yamaha !,neutral,neutral,neutral,neutral
Toyota rush terbaik di kelas nya dan terdepan di zaman nya .,neutral,neutral,positive,neutral
Gw sih pilih fortuner karena enteng klo di jalan jelek,neutral,neutral,positive,neutral
harga unit mobil GL kemahalan,neutral,neutral,neutral,neutral
sigra juga kuat power nya untuk dibawa kebut-kebutan di jalan lintas sumatra yang kejam.,neutral,positive,neutral,neutral
"Harga yang mudah terjangkau oleh siapa pun , model Dan teknologi kekinian , perawatan mudah Dan tentunya irit bahan bakar serta purnajual yang bagus , semuanya berkualifikasi bagus . Mantap memang Honda Beat .",positive,neutral,positive,positive
desain dan body interior bagusan fortuner,neutral,neutral,neutral,positive
Toyota Calya hemat bahan bakar dan kabin memuat banyak penumpang,positive,neutral,neutral,positive
"Coba dong ke Honda Autoland Kelapa Gading , beda benar . Pelayanan , kualitas ruang tunggu dan lain-lain yang enggak banget .",neutral,neutral,neutral,neutral
Honda Brio RS CVT mantap bro . Cuma harga agak mahal saja sih,neutral,neutral,positive,neutral
meskipun honda brio body nya oke tapi kalo mesin nya tidak bagus ya buat apa,neutral,negative,neutral,positive
"Gue pakai HRV juga dan udah 2 tahun , jujur enggak suka sih sama ini mobil .",neutral,neutral,negative,neutral
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,neutral,positive,neutral,neutral
Jok penumpang mobil Wuling Formo terlihat nyaman,neutral,neutral,neutral,positive
Toyota Avanza versi terbaru pun menghadirkan pedal gas yang lebih ringan untuk diinjak sehingga anda bisa memperoleh tingkat kenyamanan lebih mudah .,neutral,neutral,neutral,positive
"xenia li sudah ada power window , tachometer , power steering",neutral,neutral,neutral,positive
"Avanza ini bodi nya makin bagus , lebih irit bahan bakar , onderdil banyak dan murah , ukuran lebih lega , mudah dijual , harga jual tinggi , dibawa pulang kampung enak , perawatan murah . Lebih elegan .",positive,neutral,positive,positive
"nmax lebar sih . cuma Honda kalau soal servis masih lebih aman ,",neutral,neutral,neutral,positive
suka banget sama fitur Paddle shift - nya HRV E 2018 kayak mobil balap kalau bawa di tol suara mesin nya .,neutral,positive,neutral,positive
Kalo kenyamanan ya juara nya pajero lebih empuk terus jok nya pajero lebih tebel kalo fortuner suspensi nya parah keras banget terus jok nya keras,neutral,neutral,positive,negative
"kalau dari segi desain mah veloz juara nya, avanza terlewat jauh",neutral,neutral,neutral,negative
"Pernah Punya Grand Livina XV tahun 2011 dipakai sampai 5 Tahun , dan KM - nya enggak sampai 50.000 . Sumpah ini mobil nyaman banget .",neutral,neutral,positive,neutral
"Apalagi Kalau perjalanan Jauh , dengan bensin yang irit banget bagi saya begitu performa yang stabil , avanza adalah mobil idaman bagi saya Dan juga keluarga besar saya .",positive,positive,neutral,neutral
Pengalaman hrv 1.5 e cvt . Sangat tidak puas,neutral,neutral,negative,neutral
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,neutral,neutral,negative,neutral
scoopy tidak cocok untuk mahasiswa,neutral,neutral,negative,neutral
bodi plus tampilan nya Avanza baru mantap juragan,neutral,neutral,neutral,positive
Toyota maju dong jgn gitu gitu terus harga mahal tp apa yg di dapet dikit bgt,neutral,neutral,negative,neutral
"Bengkel Toyota Pemuda bagus banget pelayanan nya , service nya juga bagus . Thanks ya @ToyotaID",neutral,neutral,neutral,neutral
"awal nya saya sedikit ragu untuk membeli Wuling Confero L , namun dengan harga yang begitu ramah , memaksa saya memilih kendaraan ini .",neutral,neutral,neutral,neutral
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,neutral,neutral,neutral,negative
"Beat 2010 merupakan varian beat terbaik di kelas nya dengan tampilan sporty dan aeorodinamis yang baik sehingga sangat lincah di jalanan sewaktu merangsek di kemacetan , lagi pilihan warna juga desain sangat cocok untuk muda di semua gender .",neutral,positive,positive,positive
hanya motor Athlete ini yang saya enggak sreg dengan kawasaki .,neutral,neutral,negative,neutral
"Bengkel Honda 0001 , ga rekomendasi !! Jelek",neutral,neutral,neutral,neutral
Mobil xenia mantap irit pula . untuk perawatan nya mesin nya lumayan murah .,positive,neutral,positive,neutral
Desain velg alloy veloz juga diubah juragan bagi saya desain nya sangat bagus dan terkesan sporty juragan,neutral,neutral,neutral,positive
Wuling Confero S punya mesin yang mumpuni dengan tenaga dan torsi yang bagus membuat performa saat ditanjakan bisa menanjak dengan baik tanpa ada suara raungan mesin .,neutral,positive,neutral,neutral
Honda Beat Sporty irit bahan bakar dan model nya bagus sporty dan pilihan warna nya banyak tetapi aku suka warna black hard,positive,neutral,neutral,positive
Hrv punya tetangga saya kok shock depan keras ya .,neutral,neutral,neutral,negative
"Suspensi agak keras , dan juga belum ada telescopic di setir , semoga ada perubahan di Terios ke depan nya , terima kasih .",neutral,neutral,neutral,negative
"suspensi pajero empuk , fortuner itu suspensi nya keras",neutral,neutral,neutral,negative
Fortuner Itu Mobil Tenaga nya Lemah Harga Selangit,neutral,negative,neutral,neutral
"Langsung kagum bgt dengan kenyamanan nya , mulai dari kedap nya kabin , bantingan suspensi dll",neutral,neutral,positive,positive
Kalo dari fitur sih menang sirion . Tapi kalo desain menurut saya brio lebih seksi dan nggak bosenin,neutral,neutral,neutral,positive
Di samping harga nya yang terjangkau motor matic vario irit bahan bakar dan nyaman untuk digunakan dalam melaksanakan kegiatan sehari-hari .,positive,neutral,positive,neutral
"keseluruhan gue suka xenia . Murah , desain lucu , muat banyak barang ,",neutral,neutral,positive,positive
Servis di Bengkel Toyota Lebih cepat,neutral,neutral,neutral,neutral
Ini mobil avanza lebih boros daripada mobil BMW,positive,neutral,neutral,neutral
saya lebih ke mobilio karena dari segi tenaga lebih unggul,neutral,positive,neutral,neutral
sayang banget sama terios enak buat dibawa di segala medan,neutral,neutral,positive,neutral
"Ignis Worth it mas dengan harga terendah 139,5 juta .",neutral,neutral,neutral,neutral
memang kalo body kalah pajero tapi kalo mesin pasti pajero,neutral,positive,neutral,negative
Elektronik Parking Brake HRV sudah oke banget .,neutral,neutral,neutral,positive
dengan kualitas yang diberikan & harga yang murah menurut saya sangat sangat worth to buy sekali ignis ini,neutral,neutral,positive,neutral
Suka banget sama terios baru,neutral,neutral,positive,neutral
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .",positive,positive,positive,neutral
Bengkel honda payah bro ! Ngaret . Bengkel sebelah on time . #noted,neutral,neutral,neutral,neutral
tak heranlah juragan karena avanza mempunyai fitur yang cukup lengkap dengan harga enggak terlalu mahal,neutral,neutral,neutral,positive
"kaki-kaki nyaman kabin dan bagasi juga luas banget , interior dan fitur juga terbilang bagus di kelas nya . Pokok nya senang lah pakai hrv",neutral,neutral,neutral,positive
tidak pernah bosan saya pakai vario untuk pergi ke kampus .,neutral,neutral,positive,neutral
"Untuk saya sendiri yang sudah memiliki TERIOS X DELUXE MT , saya cukup puas apa yang sudah saya miliki terima kasih daihatsu",neutral,neutral,positive,neutral
"Karimun wagon saja bang , lebih murah",neutral,neutral,neutral,neutral
Honda HRV kaki-kaki terasa ringkih . Per belakang gampang ngejeduk .,neutral,neutral,neutral,negative
"sudah harga nya mahal, fortuner ini juga konsumsi bahan bakar nya lumayan menguras dompet",negative,neutral,negative,neutral
Untuk tenaga daihatsu xenia memang kurang karena 1000 cc .,neutral,negative,neutral,neutral
"Yamaha 125 ZR bukan enggak laku , harga nya serasa di awang-awang",neutral,neutral,neutral,neutral
"kalau ertiga body oke lah minimalis gitu, tapi tarikan lambat banget",neutral,negative,neutral,positive
Mending inilah daripada Honda Jazz city car over price pelit fitur .,neutral,neutral,neutral,negative
cocok banget avanza untuk dibawa liburan bersama keluarga nyaman sekali,neutral,neutral,positive,neutral
"Honda Vario 125 2018 sangat nyaman dipakai ya , buat menyalip juga enak , mesin nya halus dibandingkan dengan vario lama",neutral,positive,positive,neutral
Dari segi harga juga pajero lebih mahal 30 jutaan dibanding fortuner,neutral,neutral,neutral,neutral
Xenia memang masih kurang dari segi keamanan nya . Air bag - nya kagak ada bos .,neutral,neutral,neutral,positive
"4 tahun pakai Altis , irit bbm banget apalagi buat luar kota",positive,neutral,neutral,neutral
Avanza mobil yang cocok adalah yang irit,positive,neutral,neutral,neutral
"agya agak sedikit mengecewakan, gak bagus",neutral,neutral,negative,neutral
"Toyota Innova suspensi nya sangat mantap , tidak pernah rewel mesin nya karena rutin diservis .",neutral,positive,neutral,positive
jazz jauh lebih praktis dipake kalo dibanding brio,neutral,neutral,negative,neutral
"lebih nyaman All New Avanza , lebih gesit . akselerasi lebih baik .",neutral,positive,neutral,neutral
"saya sebagai pemakai kijang innova tidak merasa kecewa dan sangat puas , perawatan pun tidak terlalu mahal pokok nya mantap .",neutral,neutral,positive,neutral
"Payah nih bengkel mitsubishi PT Wicaksana Berlian Motor , dijanjiin servis sama operator nya tapi pas datang , bengkel nya ternyata libur",neutral,neutral,neutral,neutral
"saya juga baru saja beli tipe deluxe juga , bensin lumayan irit kok kak .",positive,neutral,neutral,neutral
Mobil Honda semuanya punya tempat penyimpanan yang banyak,neutral,neutral,neutral,positive
Harga murah adalah salah satu kelebihan Toyota Calya,neutral,neutral,neutral,neutral
Tergantung mau pakai nya berapa lama . Kalau 2 - 3 tahun mau ganti mending brio bro karena harga honda turun enggak jauh-jauh amat .,neutral,neutral,neutral,neutral
"Si gesit irit motor Honda Beat series tahun 2011 yang selalu setia menemani saya dalam mencari rezeki di kala panas dan hujan , siang dan malam .",positive,positive,neutral,neutral
